,name,address
50,RVパーク エビスヤ,山形県東置賜郡高畠町大字高畠812-1
51,RVパーク高畠ふれあい市,山形県東置賜郡高畠町大字高畠3704-1
52,RVパーク碁点温泉・最上川三難所,山形県村山市碁点1034-7
53,RVパーク CLAAPIN SAGAE,山形県寒河江市八鍬字川原919-6
54,MSBぴかぴかパークTwo【in かみのやま温泉】,山形県上山市十日町8-38
55,RVパーク　ドッグランド　Bros,福島県郡山市大槻町字城ノ内3
56,ネコマ マウンテン RV＆キャンプサイト,福島県耶麻郡磐梯町更科字清水平6838-68
57,RVパークリステル猪苗代,福島県耶麻郡猪苗代町川桁字天王坂2414
58,RVパーク Roots 猪苗代 School Area,福島県耶麻郡猪苗代町山潟港志田191 Roots猪苗代 School Area
59,磐梯山・絶景の猪苗代スキー場RVパーク,福島県耶麻郡猪苗代町字葉山7105
60,RVパーク道の駅猪苗代,福島県耶麻郡猪苗代町大字堅田字五百苅1番地
61,RVパーク 新鶴温泉んだ,福島県大沼郡会津美里町鶴野辺上長尾2347ｰ40
62,RVパーク会津美里,福島県大沼郡会津美里町高田乙6番地
63,RVパーク 道の駅ならは,福島県双葉郡楢葉町山田岡字大堤入22番地の1
64,【4月まで休業中】RVパークだいくら,福島県南会津郡南会津町針生字昼滝山857-27
65,北日光奥会津・道の駅きらら289 RVパーク,福島県南会津郡南会津町山口字橋尻１
66,北日光奥会津・小豆温泉 窓明の湯 RVパーク,福島県南会津郡南会津町大桃字駒ヶ嶽山10-1
67,RVパークせせらぎオートキャンプ場RedBean,福島県南会津郡南会津町大桃字平沢山
68,RVパーク 月舘オートキャンプベースSAKURA,福島県伊達市月舘町御代田上関3-2
69,RVパーク　オートリゾートinはぎビレッジ,茨城県高萩市横川1534-3
70,RVパーク オートキャンプTR大竹,茨城県鉾田市大竹1327-4大竹海岸
71,RVパーク 常陸太田 FOREST AUTO CAMP,茨城県常陸太田市上深荻町1804
72,ヒュッゲヴィレッジRVパーク,茨城県常総市内守谷町3312-1
73,RVパークSUGAR BASE,茨城県坂東市弓田1826-2
74,RVパーク　グランピングヴィレッジIBARAKI,茨城県北茨城市磯原町磯原2547-3
75,RVパーク フルーツファーム 豊田園,茨城県久慈郡大子町小生瀬3964
76,RVパーク　ビアスパークしもつま,茨城県下妻市長塚乙70-3
77,RVパークランドポートAjigaura,茨城県ひたちなか市阿字ケ浦町434
78,RVパークsmart 阿字ヶ浦温泉のぞみ,茨城県ひたちなか市阿字ケ浦町3290
79,RVパークあじがうら,茨城県ひたちなか市磯崎町4625-2
80,RVパークつくば,茨城県つくば市大角豆（ささぎ）2012-678
81,RVパーク DEJIMAベース,茨城県かすみがうら市牛渡４０１９番地５
82,RVパーク　トモさん,栃木県鹿沼市下永野1142
83,RVパーク ビバーク＋那須高原,栃木県那須郡那須町高久乙2827-1
84,RVパーク ホテル・フロラシオン那須,栃木県那須郡那須町高久丙1796
85,RVパークみはらしの湯,栃木県那須郡那珂川町和見855
86,RVパーク　555幸乃湯,栃木県那須塩原市百村3536-2
87,那須塩原ニワトコ RVパーク,栃木県那須塩原市横林144-180
88,RVパーク那須塩原エヅリン,栃木県那須塩原市一区町281-191
89,城の湯ＲＶパーク,栃木県矢板市川崎反町393番地
90,RVパーク 58ロハスクラブ,栃木県矢板市安沢2180
91,RVパーク　遊水園CampField,栃木県小山市鉢形８８５－１
92,RVパークsmart 小山思川温泉,栃木県小山市喜沢1475
93,RVパーク 宇都宮ICくまくま,栃木県宇都宮市新里町丙357-14
94,RVパーク　大谷,栃木県宇都宮市大谷町1312-6
95,RVパーク CD BASE SANO,栃木県佐野市馬門町１７１５（隣地地番１７２１－３）
96,DANRANアウトドアフィールド　RVパーク,栃木県佐野市奈良渕町316
97,RVパーク　赤城 ときわぎの森キャンプ場,群馬県渋川市赤城町持柏木1000
98,RVパーク LUONTO by Hibikino 伊香保温泉＋伊草酒店,群馬県渋川市伊香保町伊香保403-121
99,RVパーク伊香保,群馬県渋川市中村755-1
100,RV park plus 沼田健康ランド,群馬県沼田市薄根町2825-2
101,RVパーク農産物直売所 尾瀬市場 利根町本店,群馬県沼田市利根町平川1113
102,RVパーク　ゆらぶ桐生店,群馬県桐生市広沢町６丁目３２０－１
103,ＲＶパーク応徳温泉　道の駅六合,群馬県吾妻郡中之条町小雨21-1
104,RVパーク赤岩の里,群馬県吾妻郡中之条町大字赤岩195番地
105,RVパーク伊参（いさま）スタジオ公園,群馬県吾妻郡中之条町大字五反田3527-5
106,RVパークsmart 道の駅よしおか温泉,群馬県北群馬郡吉岡町漆原2004
107,RVパーク ドッグランWANport,群馬県北群馬郡吉岡町上野田2339-1
108,RVパーク 道の駅尾瀬かたしな,群馬県利根郡片品村鎌田3967-1
109,RVパーク 道の駅たくみの里,群馬県利根郡みなかみ町須川８４７
110,谷川岳RVパーク,群馬県利根郡みなかみ町湯桧曽土合220
111,みなかみRVパーク 山 to 空（やまとそら）,群馬県利根郡みなかみ町大穴142-1
112,メッツァRVパーク,埼玉県飯能市宮沢327-6
113,RVパーク 古代蓮の里,埼玉県行田市小針２３７５－１
114,RVパークsmart 長瀞 ～川とSLの郷～,埼玉県秩父郡長瀞町野上下郷1567
115,RVパークヘリテイジ美の山,埼玉県秩父郡皆野町皆野3415
116,RVパークみどりの村,埼玉県秩父市上吉田1011
117,RVパーク ヘリテイジ リゾート,埼玉県熊谷市小江川228
118,RVパーク　キャラバンパーク所沢,埼玉県所沢市大字坂ノ下1101-1
119,TACO GLAMP THE MEXICO,千葉県香取郡多古町162
120,RVパークsmart 天然温泉美人の湯 カーニバルヒルズ,千葉県香取市沢13-15
121,CAMPGROUND BREEZE TATEYAMA（旧 BREEZE Family Camp）,千葉県館山市那古1672-6
122,RVパーク たてやま倶楽部,千葉県館山市船形777
123,RVパーク OCEAN FRONT TATEYAMA,千葉県館山市八幡小松原821－11
124,RVパークモモカフェ。,千葉県長生郡長生村一松丙４３５５－１
125,RVパーク ホテルスワンレイク,千葉県長生郡長柄町皿木１６－２
126,RVパーク The garden hotel With DOG,千葉県長生郡一宮町一宮10110-1
127,RVパーク袖ヶ浦オートキャンプ,千葉県袖ケ浦市川原井1851-2
128,RVパーク　WASHINOYA RV PARK,千葉県柏市鷲野谷137
129,RVパークGREENBASE東金ジャンボブルーベリー店,千葉県東金市山田1182-1
130,RVパークGREEN BASE木更津店,千葉県木更津市金田東1丁目48番10
131,RVパークはすぬま,千葉県山武市蓮沼ハの4832番地3
132,RVパークライト Ema,千葉県富津市新井851-6
133,都市交流施設・道の駅保田小附属ようちえん　RVパーク,千葉県安房郡鋸南町保田724
134,RVパークsmart 山の駅 養老渓谷 喜楽里（やまのえき ようろうけいこく きらり）,千葉県夷隅郡大多喜町小田代135
135,RVパーク七里川,千葉県君津市黄和田畑920
136,RVパーク BBQ OASIS,千葉県君津市外箕輪175-1
137,RVパーク南房総・白浜,千葉県南房総市白浜町滝口9240番地
138,RVパークライトとみうら【M-REX富浦シーサイドビレッジ】,千葉県南房総市富浦町豊岡84-1
139,RVパーク 池のほとり,千葉県南房総市加茂堀切２５１０−１
140,RVパーク＆CAMP 214KATSUURA,千葉県勝浦市守谷1516-1
141,RVパーク東京・東墨田,東京都墨田区東墨田1-2-14
142,RVパーク ビーチサイドハウス鵠沼海岸,神奈川県藤沢市鵠沼海岸1-12-13
143,RVパーク中津川,神奈川県愛甲郡愛川町半原125-1
144,杉山つつじ園RVパーク,神奈川県伊勢原市三ノ宮1-4
145,RVパークライト スターフォレストキャンプ葉山,神奈川県三浦郡葉山町上山口1431-1　スターホーム（株）
146,RVパークみうら,神奈川県三浦市初声町和田1703-1
147,RVパーク 新潟阿賀野リゾート,新潟県阿賀野市金屋340-5
148,やひこRVパーク,新潟県西蒲原郡弥彦村麓1970
149,RVパークマリンドリーム能生,新潟県糸魚川市能生小泊3596-2
150,SORAIRO国上　RVパーク,新潟県燕市国上5866－1
151,RVパーク　CARS LAND,新潟県新潟市南区東萱場 1857-1
152,RVパーク 『IMORI CAMPSITE』～芭蕉苑～,新潟県妙高市関川2264-19
153,RVパーク NASPAニューオータニ,新潟県南魚沼郡湯沢町大字湯沢2117-9
154,RVパーク★NC21+ピーキャン★,新潟県南魚沼市竹俣235-1
155,RVパーク　バンダイ,新潟県十日町市中条甲1369
156,妙高サンシャインRVパーク,新潟県上越市中郷区江口846-1
157,RVパーク立山ライチョウ谷,富山県富山市本宮3-14
158,RVパーク 南砺市クリエイタープラザ,富山県南砺市立野原東1514-18
159,RVパーク 天然温泉 湯めごこち,富山県中新川郡舟橋村古海老江２５６−１
160,【休止中】RVパーク 能登半島九十九湾,石川県鳳珠郡能登町越坂11-51
161,RVパーク NOTOあなみず,石川県鳳珠郡穴水町内浦5-28-3　のとふれあい文化センター内
162,RVパーク　道の駅ころ柿の里しか,石川県羽咋郡志賀町末吉千古新保向22-1
163,RVパーク道の駅のと千里浜,石川県羽咋市千里浜町タ1番地62
164,RVパーク 浦野農園Playground,石川県珠洲市三崎町高波カ部
165,RVパークねやフィッシングパーク太公望,石川県七尾市能登島閨町ロ42-3
166,RVパークMARE,福井県福井市小丹生町34-2-1
167,RVパーク　オーシャンズ,福井県福井市大味町１９
168,RVパーク MC Resort,福井県敦賀市櫛川41-3-1
169,RVパーク道の駅「越前おおの 荒島の郷」,福井県大野市蕨生第137号21番地1
170,RVパーク谷口屋,福井県坂井市丸岡町上竹田37-26-1
171,RVパークこばせ,福井県丹生郡越前町梅浦58−８
172,RVパーク ECHIZEN LOG,福井県丹生郡越前町梅浦114-91
173,RVパーク つる,山梨県都留市大原88番地
174,RVパーク ホテルスターらんど,山梨県都留市下谷2450‐1
175,RVパーク N＊BASE,山梨県笛吹市石和町小石和2235
176,RVパーク FURI~space桃の里,山梨県笛吹市一宮町市之蔵82-1
177,RVパークサクラリゾート,山梨県甲斐市亀沢6949
178,RVパーク甲州市勝沼ぶどうの丘,山梨県甲州市勝沼町菱山5093
179,enico.Mt.Fuji Resort＆Glamping RVパーク,山梨県南都留郡鳴沢村字猿口7472-11
180,RVパーク Annex 道志,山梨県南都留郡道志村下善之木１０１７１－２
181,RVパーク道志川温泉紅椿の湯,山梨県南都留郡道志村3888
182,RVパーク MAUKA RESORT  AZMY,山梨県南都留郡山中湖村平野1289
183,RVパーク Campingcar Trip L,山梨県南巨摩郡南部町南部9426-1
184,RVパーク Luxway　南アルプス,山梨県南アルプス市野牛島2160
185,RVパークやまなみの湯,山梨県南アルプス市西南湖1299-1
186,fumotto RVパーク,山梨県南アルプス市十日市場1571-1 fumotto南アルプス
187,RVパーク 道の駅 南きよさと,山梨県北杜市高根町長沢760番地
188,RVパーク 道の駅はくしゅう,山梨県北杜市白州町白須1308
189,RVパーク 秋山温泉,山梨県上野原市秋山2210
190,RVパーク飯田さるくら,長野県飯田市大休7462-49
191,RVパークライト 斑尾高原キャンピングパーク,長野県飯山市斑尾高原
192,RVパーク鬼無里の湯　ホテル＆コテージ,長野県長野市鬼無里日影8855
193,RVパークゆーとろん水神の湯,長野県諏訪郡富士見町富士見9547
194,RVパーク八ヶ岳高原「原村」もみの木,長野県諏訪郡原村字原山17217-1729
195,RVパークライト赤砂崎公園,長野県諏訪郡下諏訪町赤砂10944番地
196,RVパークこころ屋,長野県諏訪市湖南3948-1
197,RVパーク蓼科パークホテル,長野県茅野市北山5522
198,RVパーク　蓼科　ラ・プラネート,長野県茅野市北山4026-1213
199,しの389安曇野ステーション（Camping out in the car AzuminoStation）,長野県安曇野市堀金烏川5099-3
200,RVパーク 白馬キャンプ場,長野県北安曇郡白馬村北城5629
201,RVパーク　蓼科,長野県北佐久郡立科町大字芦田八ヶ野1050
202,RVパーク 西軽井沢,長野県北佐久郡御代田町馬瀬口1670-113
203,RVパーク ドッグランカフェ＆リゾーツ・ジェニー　West-Karuizawa,長野県北佐久郡御代田町馬瀬口1581-33
204,RVパーク　小布施屋,長野県上高井郡小布施町大字中松496-1
205,CamPark（キャンパーク） 車中泊場,長野県上水内郡飯綱町豊野1823
206,RVパーク 北アルプス絶景の宿 林りん館,長野県上水内郡小川村小根山8000-1
207,RVパーク・ラボランドくろひめ,長野県上水内郡信濃町野尻1848
208,RVパーク　Hinatabocco guesthouse,長野県上伊那郡辰野町伊那富６３１５ー２　Hinatabocco guesthouse
209,RVパーク おやど楽,岐阜県高山市江名子町2044-17
210,養老温泉　ゆせんの里,岐阜県養老郡養老町押越1374-50
211,RVパーク飛騨まんが王国,岐阜県飛騨市宮川町杉原110番地
212,RVパーク　HESTA板取川温泉,岐阜県関市板取4175番地9
213,RVパーク ウイングヒルズ 満天の湯,岐阜県郡上市白鳥町石徹白136番地1-1
214,RVパーク郡上八幡,岐阜県郡上市八幡町初納1430-2
215,RVパーク s-craft,岐阜県恵那市笠置町毛呂窪字滝坂1720-1
216,RVパーク One Life garden,岐阜県多治見市東栄町1-14-1
217,RVパーク湯の華RVキャンプ場,岐阜県可児市土田大脇4733-4
218,RVパークsmart 天空の牧場 スクーデリアステラin八百津,岐阜県加茂郡八百津町久田見166
219,RVパークあかね,岐阜県加茂郡八百津町久田見1220-6
220,RVパークsmart 下呂萩原,岐阜県下呂市萩原町古関928-1
221,RVパーク用宗～Mochimune～,静岡県静岡市駿河区用宗3丁目17-10
222,トライアルパーク蒲原　RVパーク,静岡県静岡市清水区蒲原5245-97
223,RVパーク　西伊豆 TAGO BASE,静岡県賀茂郡西伊豆町田子1672-2
224,宇久須キャンプ場RVパーク,静岡県賀茂郡西伊豆町宇久須2102-13
225,RVパーク伊豆黒根岬,静岡県賀茂郡東伊豆町稲取3009-1
226,RVパークsmart 弓ヶ浜いち番館,静岡県賀茂郡南伊豆町湊635
227,RVパーク ふじすその,静岡県裾野市佐野85-1
228,接続の森 RV PARK,静岡県牧之原市2220-5
229,RVパークちどりマリンサービス,静岡県沼津市西浦江梨323-2(大瀬崎)
230,RVパーク レンブラントスタイル御殿場駒門,静岡県御殿場市神山1925-170
231,RVパークITAZUMA,静岡県御殿場市板妻字長畠792－４
232,RVパーク御殿場,静岡県御殿場市新橋２９２－１
233,RVパーク フジRVフィールド,静岡県富士宮市杉田486
234,RVパーク Hoshiyama,静岡県富士宮市星山84-2
235,RVパークTiC! ふじさん朝霧高原,静岡県富士宮市人穴201-9
236,RVパーク代官屋敷,静岡県伊豆の国市韮山山木１４２－１
237,RVパークsmart 極楽湯 三島店,静岡県三島市三好町4番23号　せせらぎパーク三好内
238,RVパーク 海陽閣,愛知県蒲郡市三谷町南山1-69
239,RVパーク 野間海岸ステーション,愛知県知多郡美浜町野間
240,RVパーク犬山ローレライ麦酒館,愛知県犬山市大字羽黒字成海郷70番地
241,RVパーク　鳥羽シーサイドホテル,三重県鳥羽市安楽島町1084
242,RVパーク鈴鹿 tea side,三重県鈴鹿市岸田町1549-24
243,RVパーク 猿田彦BASE,三重県鈴鹿市小岐須町2455
244,RVパーク湯元榊原館,三重県津市榊原町5970
245,RVパーク津ぅ,三重県津市末広町31ー25
246,RVパークビーエル桑名,三重県桑名市額田317
247,RVパーク 道の駅「飯高駅」,三重県松阪市飯高町宮前１７７番地
248,RVパーク VISON,三重県多気郡多気町ヴィソン672番1本草1
249,RVパーク　道の駅パーク七里御浜,三重県南牟婁郡御浜町阿田和6115-5
250,RVパーク　メナード青山リゾート,三重県伊賀市霧生2356
251,RVパークAdoの森,三重県伊賀市四十九町2626-9
252,MORIMORI PARK 伊賀,三重県伊賀市千貝90
253,RVパーク伊勢朝熊,三重県伊勢市朝熊町801-31
254,RVパーク伊勢,三重県伊勢市一色町1650
255,RVパークsmart 湯の山温泉,三重県三重郡菰野町菰野字募4852-2
256,RVパーク　いまづ,滋賀県高島市今津町浜分88-19
257,RVパーク リラクピング メタセコイア店,滋賀県高島市マキノ町寺久保683－1
258,RVパークフューチャーリゾート,滋賀県長浜市名越町1016−４
259,琵琶湖RVパークアヤメ,滋賀県野洲市菖蒲260-17
260,RV Park　YOSHIKAWA BASE,滋賀県野洲市吉川2281-12
261,RVパーク伊吹薬草の里文化センター,滋賀県米原市春照３７番地
262,RVパークダイヤモンド滋賀,滋賀県甲賀市土山町黒川1711
263,RVパークSUNTOWER MARINA,滋賀県大津市北小松83-1
264,RVパーク ハロー京都の海,京都府舞鶴市西神崎22-21
265,RVパーク 京都大呂ガーデンテラス,京都府福知山市大呂298-5
266,RVパーク福知山,京都府福知山市厚東町193
267,雲野 RVパーク,京都府南丹市美山町島英サ４０
268,RVパーク京都中央,京都府京都市右京区西院太田町4番地
269,24時間出入り可能！StandOut KYOTO,京都府京都市南区久世東土川町243-2
270,RVパーク京都南 鴨川RVサイト,京都府京都市伏見区中島河原田町62
271,Hygge BASE 京丹後 RVパーク,京都府京丹後市久美浜町河内湊宮小字高山沖467-236
272,京都湯の花RVパーク,京都府亀岡市ひえ田野町佐伯下峠５８
273,RVパーク 柏原 竜田古道,大阪府柏原市雁多尾畑652-9
274,RVパーク　GLAMPING金剛テラス,大阪府富田林市佐備1500
275,RVパーク JUBILATIONS,兵庫県高砂市荒井町小松原5丁目13‐8
276,RVパーク城崎温泉　いなばや,兵庫県豊岡市城崎町今津410
277,RVパーク　カフェ宿　夕香楼しょう和,兵庫県美方郡香美町香住区七日市312-1
278,RVパーク香美の隠れ家ときめき矢田川ヴィレッジ,兵庫県美方郡香美町村岡区長瀬933-1
279,RVパークハチ北,兵庫県美方郡香美町村岡区大笹15-1
280,RVパーク　宙の森ホテル花郷里,兵庫県美方郡香美町小代区大谷300
281,RVパーク　カイノヴィラ,兵庫県美方郡香美町境604
282,RVパーク この街ガーデンズ（なでしこの湯）,兵庫県神戸市西区伊川谷町前開270-1
283,RVパーク Bonds Camper 【神戸市街地店】,兵庫県神戸市灘区岩屋南町4-56
284,RVパーク 六甲山の上美術館,兵庫県神戸市灘区六甲山町4512-808
285,都市型RVパーク【bravo港町神戸】,兵庫県神戸市中央区東川崎町6-1-26
286,RVパーク 島唄,兵庫県淡路市志筑９１－３
287,RVパーク淡路島シームーン,兵庫県洲本市安乎町平安浦1970-6
288,RVパーク 淡路島の郷 鮎屋の滝,兵庫県洲本市前平205-2
289,RVパーク五色浜サンセットビュー（淡路島）,兵庫県洲本市五色町鳥飼浦731-5
290,生野高原 カッセル RVパーク,兵庫県朝来市生野町栃原1784-302
291,RVパークE‐POINT,兵庫県明石市大久保町江井島２７０－９
292,奥播磨RVパークin森のようちえん,兵庫県宍粟市一宮町能倉864
293,RVパーク SQUARE,兵庫県姫路市広畑区西蒲田8-5
294,淡路島西海岸オートキャンプ場　RVパーク,兵庫県南あわじ市津井1319-1
295,RVパーク B'sForest,兵庫県加東市黒谷1197-761
296,RVパーク丹波篠山,兵庫県丹波篠山市八上下170
297,RVパーク 丹波 くるり,兵庫県丹波市青垣町大名草1272-1
298,RVパークかもきみの湯,奈良県御所市五百家333
299,RVパークライト あきののゆRV,奈良県宇陀市大宇陀拾生250-2
300,RVパーク　古都さくらの庭　奈良東大寺裏,奈良県奈良市雑司町70-4
301,RVパークロマントピア月ヶ瀬,奈良県奈良市月ヶ瀬長引707-10
302,RVパーク平城京朱雀門（へいじょうきょうすざくもん）ひろば,奈良県奈良市二条大路南4-6-1
303,RVパーク大和の里　富雄中町（とみおなかまち）,奈良県奈良市中町4338-2
304,【2024年受付休止】RVパークライト 竹取,奈良県北葛城郡広陵町三吉391-1
305,RVパーク とれとれ市場 南紀白浜,和歌山県西牟婁郡白浜町堅田2521
306,KINOKAWA RVパーク,和歌山県紀の川市粉河781-2
307,RVパーク民宿亀の井,和歌山県東牟婁郡那智勝浦町朝日4-73
308,Temple Hotel 大泰寺 RVパーク,和歌山県東牟婁郡那智勝浦町下和田775
309,RVパークsmart 湯浅町観光用駐車場,和歌山県有田郡湯浅町湯浅2702-9
310,RVパーク高田グリーンランド・雲取温泉,和歌山県新宮市高田1810
311,中野さんちのキャンプ場・RVパークほたるの郷,和歌山県伊都郡かつらぎ町志賀１８－１
312,RVパーク TOTTORI,鳥取県鳥取市賀露町4043-4
313,RV PARK 皆生～おーゆ・ランド～,鳥取県米子市皆生温泉１-１８-１
314,Starling Cafe　RVパーク,鳥取県米子市泉706-491
315,鳥取中央砂丘RVパーク,鳥取県東伯郡北栄町江北3130
316,RVパークライト 島根鼻公園オートキャンプ場,島根県隠岐郡西ノ島町大字浦郷825番地１
317,RVパーク美都温泉,島根県益田市美都町宇津川ロ630-3
318,RVパーク宍道湖,島根県松江市浜佐田町９７４－１
319,RVパーク道の駅「ごいせ仁摩」,島根県大田市仁摩町大国42-1
320,RVパーク西山高原,岡山県高梁市備中町西山1314-1
321,RVパーク農マル園芸吉備路農園,岡山県総社市西郡411-1
322,RVパークゆばら湯っ足り広場,岡山県真庭市豊栄1525-1
323,RVパーク 下湯原温泉ひまわり館,岡山県真庭市下湯原24-1
324,【改装休業中】RVパークうしまどクロワッサン,岡山県瀬戸内市牛窓町鹿忍6420-5
325,RVパーク 優　活(ゆうかつ),岡山県備前市日生町日生641-17
326,RVパークライト COSTA HINASE RESORT,岡山県備前市日生町寒河38番
327,RVパークBIZEN BASE CAMP,岡山県備前市伊部259-1
328,RVパークとのやま山荘,岡山県倉敷市玉島道口2680-1
329,RVパーク道の駅湖畔の里福富,広島県東広島市福富町久芳1506
330,RVパーク豊平どんぐり村,広島県山県郡北広島町都志見12609
331,RVパーク瀬戸田サンセットビーチ,広島県尾道市瀬戸田町垂水1506-15
332,RVパークくらはしカープビーチ,広島県呉市倉橋町井目木123-1
333,RVパーク道の駅阿武町,山口県阿武郡阿武町大字奈古2249
334,RVパークたまがわ,山口県萩市下田万2849-1
335,RVパーク リラマリーフ田布施,山口県熊毛郡田布施町別府1649
336,RVパーク みちしお,山口県山陽小野田市大字埴生2216-7
337,RVパークBooBooステージ,山口県山口市大内長野1651番地１
338,RVパーク グリーンステイながうら,山口県大島郡周防大島町椋野1144-1
339,RVパーク seaside villa HILIFE,山口県下関市豊浦町大字宇賀7017-1
340,RVパークsmart あるかぽーと,山口県下関市南部町26
341,RVパーク鳴門天然温泉あらたえの湯,徳島県鳴門市撫養町大桑島字北ノ浜8-2
342,RVパーク　国立公園引田・鳴門ぴんぴん亭,徳島県鳴門市北灘町大須長浜５６
343,お遍路RVパーク 安楽寺,徳島県板野郡上板町引野寺ノ西北8
344,RVパーク美郷の湯,徳島県吉野川市美郷奥丸75-1
345,RVパークライトひなの里かつうら,徳島県勝浦郡勝浦町大字生名字月ノ瀬4番地1
346,RVパーク仏生山の森,香川県高松市仏生山町甲884-4
347,RVパーク　RVKUMONパーク,香川県高松市三谷町１４０８
348,RVパーク たかせ天然温泉,香川県三豊市高瀬町上高瀬768-1
349,RVパーク　道の駅たからだの里さいた,香川県三豊市財田町財田上1110番地8
350,RVパーク サンリゾート仁尾,香川県三豊市仁尾町家の浦326
351,RVパーク　仁尾マリーナ,香川県三豊市仁尾町仁尾己９１８－１２
352,RVパーク　父母ヶ浜,香川県三豊市仁尾町仁尾乙２０３−３
353,RVパーク　道の駅ふれあいパークみの,香川県三豊市三野町大見乙７４
354,法円寺RVパーク,愛媛県宇和島市神田川原新4
355,RVパーク 李音パーキング,愛媛県宇和島市本町追手2-8-25
356,RVパーク　道の駅 清流の里ひじかわ,愛媛県大洲市肱川町宇和川3030番地
357,RVパーク道の駅虹の森公園まつの,愛媛県北宇和郡松野町延野々1510-1
358,RVパークしまなみ海道 大三島,愛媛県今治市上浦町井口7340-1
359,RVパーク ALOHA Village・BaseCamp,高知県高知市春野町甲殿1422-27
360,RVパークフォレストアドベンチャー・高知,高知県高岡郡津野町芳生野乙5422
361,RVパークゆとりすと,高知県長岡郡大豊町中村大王4037-25
362,RVパーク 道の駅すくも,高知県宿毛市小筑紫町田ノ浦1244番10
363,RVパークsmart 源泉野天風呂 那珂川清滝（なかがわせいりゅう）,福岡県那珂川市南面里326
364,RVパーク　サンライズビーチながい,福岡県行橋市大字長井146
365,RVパークsmart糸島ファームハウスUOVO,福岡県糸島市志摩桜井5134-1
